,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
58,59,ばかまじめ,Creepy Nuts,438769,https://open.spotify.com/track/55emtNBnUXszixuQj4Fg6I,0.61,0.938,10,-3.592,0,0.0525,0.194,0.0,0.518,0.802,90.949,audio_features,55emtNBnUXszixuQj4Fg6I,spotify:track:55emtNBnUXszixuQj4Fg6I,https://api.spotify.com/v1/tracks/55emtNBnUXszixuQj4Fg6I,https://api.spotify.com/v1/audio-analysis/55emtNBnUXszixuQj4Fg6I,172367,4
59,60,それを愛と呼ぶなら,Uru,436074,https://open.spotify.com/track/3ibqi5ANZtNI7QXOgUnFsL,0.493,0.527,10,-5.126,1,0.0342,0.729,0.0,0.0989,0.452,169.974,audio_features,3ibqi5ANZtNI7QXOgUnFsL,spotify:track:3ibqi5ANZtNI7QXOgUnFsL,https://api.spotify.com/v1/tracks/3ibqi5ANZtNI7QXOgUnFsL,https://api.spotify.com/v1/audio-analysis/3ibqi5ANZtNI7QXOgUnFsL,294667,4
60,61,レオ,Yuuri,434060,https://open.spotify.com/track/3eg3igrhEhzk8bqqRz6XCt,0.629,0.543,5,-6.281,1,0.0252,0.383,0.0,0.127,0.403,93.043,audio_features,3eg3igrhEhzk8bqqRz6XCt,spotify:track:3eg3igrhEhzk8bqqRz6XCt,https://api.spotify.com/v1/tracks/3eg3igrhEhzk8bqqRz6XCt,https://api.spotify.com/v1/audio-analysis/3eg3igrhEhzk8bqqRz6XCt,238973,4
61,62,napori,Vaundy,401881,https://open.spotify.com/track/7LPL74iMxXZ4hEjCwmLMae,0.88,0.356,11,-7.802,1,0.297,0.417,0.0,0.0997,0.468,129.822,audio_features,7LPL74iMxXZ4hEjCwmLMae,spotify:track:7LPL74iMxXZ4hEjCwmLMae,https://api.spotify.com/v1/tracks/7LPL74iMxXZ4hEjCwmLMae,https://api.spotify.com/v1/audio-analysis/7LPL74iMxXZ4hEjCwmLMae,203787,4
62,63,花占い,Vaundy,392341,https://open.spotify.com/track/2PlbwoIVr25oita35jg9ht,0.662,0.789,7,-7.634,0,0.0305,0.0141,0.0,0.317,0.881,135.01,audio_features,2PlbwoIVr25oita35jg9ht,spotify:track:2PlbwoIVr25oita35jg9ht,https://api.spotify.com/v1/tracks/2PlbwoIVr25oita35jg9ht,https://api.spotify.com/v1/audio-analysis/2PlbwoIVr25oita35jg9ht,207556,4
63,64,恋人ごっこ,Macaroni Empitsu,390857,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO,0.438,0.646,1,-5.301,1,0.0361,0.124,0.0,0.0603,0.745,102.033,audio_features,2SihT7AVMiI2VtaAyVIcnO,spotify:track:2SihT7AVMiI2VtaAyVIcnO,https://api.spotify.com/v1/tracks/2SihT7AVMiI2VtaAyVIcnO,https://api.spotify.com/v1/audio-analysis/2SihT7AVMiI2VtaAyVIcnO,200219,4
64,65,うるうびと,RADWIMPS,388615,https://open.spotify.com/track/6mJIn3fvwWHHAnrR3LEdxp,0.489,0.522,11,-5.291,1,0.0306,0.401,0.0,0.238,0.43,78.035,audio_features,6mJIn3fvwWHHAnrR3LEdxp,spotify:track:6mJIn3fvwWHHAnrR3LEdxp,https://api.spotify.com/v1/tracks/6mJIn3fvwWHHAnrR3LEdxp,https://api.spotify.com/v1/audio-analysis/6mJIn3fvwWHHAnrR3LEdxp,318880,4
65,66,ツキミソウ,Novelbright,384594,https://open.spotify.com/track/6sElEqOIGENWjpxGFeo5ct,0.504,0.645,6,-3.244,1,0.0352,0.432,0.0,0.231,0.473,77.959,audio_features,6sElEqOIGENWjpxGFeo5ct,spotify:track:6sElEqOIGENWjpxGFeo5ct,https://api.spotify.com/v1/tracks/6sElEqOIGENWjpxGFeo5ct,https://api.spotify.com/v1/audio-analysis/6sElEqOIGENWjpxGFeo5ct,312053,4
66,67,That That (prod. & feat. SUGA of BTS),PSY,382530,https://open.spotify.com/track/5oH4DQAuu1J1800RzUsBWa,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,audio_features,5oH4DQAuu1J1800RzUsBWa,spotify:track:5oH4DQAuu1J1800RzUsBWa,https://api.spotify.com/v1/tracks/5oH4DQAuu1J1800RzUsBWa,https://api.spotify.com/v1/audio-analysis/5oH4DQAuu1J1800RzUsBWa,174647,4
67,68,うぉ,Yuuri,377106,https://open.spotify.com/track/5cjjWH34eymyinmFKaAEEC,0.704,0.66,11,-4.602,1,0.0929,0.315,0.0,0.0852,0.86,109.873,audio_features,5cjjWH34eymyinmFKaAEEC,spotify:track:5cjjWH34eymyinmFKaAEEC,https://api.spotify.com/v1/tracks/5cjjWH34eymyinmFKaAEEC,https://api.spotify.com/v1/audio-analysis/5cjjWH34eymyinmFKaAEEC,168027,4
68,69,Crayon,ZOT on the WAVE,371720,https://open.spotify.com/track/3ZEdrRIGjFpXZSzfjwWmDQ,0.791,0.859,8,-4.524,1,0.0448,0.157,3.71e-06,0.446,0.946,140.017,audio_features,3ZEdrRIGjFpXZSzfjwWmDQ,spotify:track:3ZEdrRIGjFpXZSzfjwWmDQ,https://api.spotify.com/v1/tracks/3ZEdrRIGjFpXZSzfjwWmDQ,https://api.spotify.com/v1/audio-analysis/3ZEdrRIGjFpXZSzfjwWmDQ,176681,4
69,70,魔法にかけられて,Saucy Dog,371524,https://open.spotify.com/track/03RD1XAEH7lSTrYe4zMDl9,0.608,0.581,7,-5.399,1,0.0271,0.546,3.44e-06,0.124,0.572,82.005,audio_features,03RD1XAEH7lSTrYe4zMDl9,spotify:track:03RD1XAEH7lSTrYe4zMDl9,https://api.spotify.com/v1/tracks/03RD1XAEH7lSTrYe4zMDl9,https://api.spotify.com/v1/audio-analysis/03RD1XAEH7lSTrYe4zMDl9,254934,4
70,71,沈丁花,DISH//,371048,https://open.spotify.com/track/79TdseXlAiANFOTstIwejv,0.555,0.834,8,-3.541,1,0.0299,0.0408,0.0,0.346,0.771,120.039,audio_features,79TdseXlAiANFOTstIwejv,spotify:track:79TdseXlAiANFOTstIwejv,https://api.spotify.com/v1/tracks/79TdseXlAiANFOTstIwejv,https://api.spotify.com/v1/audio-analysis/79TdseXlAiANFOTstIwejv,231610,4
71,72,青と夏,Mrs. GREEN APPLE,365023,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,audio_features,5BC6kr6etk2Y9J62AyI4i3,spotify:track:5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/tracks/5BC6kr6etk2Y9J62AyI4i3,https://api.spotify.com/v1/audio-analysis/5BC6kr6etk2Y9J62AyI4i3,270027,4
72,73,結,Saucy Dog,349166,https://open.spotify.com/track/5Anr2wqdL182BsI02iCbcd,0.53,0.661,6,-7.09,1,0.0408,0.224,0.0,0.169,0.538,153.935,audio_features,5Anr2wqdL182BsI02iCbcd,spotify:track:5Anr2wqdL182BsI02iCbcd,https://api.spotify.com/v1/tracks/5Anr2wqdL182BsI02iCbcd,https://api.spotify.com/v1/audio-analysis/5Anr2wqdL182BsI02iCbcd,264840,4
73,74,溜め息,HENTAI SHINSHI CLUB,346331,https://open.spotify.com/track/4PKIhZHuWGlELcxyvV8Oxb,0.799,0.559,6,-7.59,1,0.0509,0.132,1.61e-05,0.0965,0.5,94.007,audio_features,4PKIhZHuWGlELcxyvV8Oxb,spotify:track:4PKIhZHuWGlELcxyvV8Oxb,https://api.spotify.com/v1/tracks/4PKIhZHuWGlELcxyvV8Oxb,https://api.spotify.com/v1/audio-analysis/4PKIhZHuWGlELcxyvV8Oxb,177813,4
74,75,ブルーベリー・ナイツ,Macaroni Empitsu,344213,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm,0.66,0.865,5,-3.642,1,0.0277,0.278,0.0,0.0931,0.772,106.008,audio_features,2UdvMWk0Z83lMJPbawy2Sm,spotify:track:2UdvMWk0Z83lMJPbawy2Sm,https://api.spotify.com/v1/tracks/2UdvMWk0Z83lMJPbawy2Sm,https://api.spotify.com/v1/audio-analysis/2UdvMWk0Z83lMJPbawy2Sm,244869,4
75,76,花束のかわりにメロディーを,Shota Shimizu,343991,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE,0.42,0.483,8,-5.345,1,0.0291,0.0784,1.05e-05,0.276,0.277,129.808,audio_features,2028QNsVTmp5IF7UK4ZnaE,spotify:track:2028QNsVTmp5IF7UK4ZnaE,https://api.spotify.com/v1/tracks/2028QNsVTmp5IF7UK4ZnaE,https://api.spotify.com/v1/audio-analysis/2028QNsVTmp5IF7UK4ZnaE,309440,4
76,77,Betrayal Game,BE:FIRST,340748,https://open.spotify.com/track/2VKwa5aHsNu0ZGQg77kdBd,0.841,0.53,2,-6.797,0,0.0854,0.345,0.0,0.154,0.906,115.033,audio_features,2VKwa5aHsNu0ZGQg77kdBd,spotify:track:2VKwa5aHsNu0ZGQg77kdBd,https://api.spotify.com/v1/tracks/2VKwa5aHsNu0ZGQg77kdBd,https://api.spotify.com/v1/audio-analysis/2VKwa5aHsNu0ZGQg77kdBd,225267,4
77,78,不可幸力,Vaundy,339713,https://open.spotify.com/track/57MvUwzIzRJ0r21rnNU1s1,0.69,0.815,11,-5.227,0,0.0426,0.0157,2.85e-06,0.0636,0.613,94.032,audio_features,57MvUwzIzRJ0r21rnNU1s1,spotify:track:57MvUwzIzRJ0r21rnNU1s1,https://api.spotify.com/v1/tracks/57MvUwzIzRJ0r21rnNU1s1,https://api.spotify.com/v1/audio-analysis/57MvUwzIzRJ0r21rnNU1s1,200243,4
78,79,白日,King Gnu,338412,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r,0.599,0.891,1,-3.242,1,0.116,0.562,0.0,0.322,0.694,93.029,audio_features,172fMG26G2OoEzzg0wn26r,spotify:track:172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/tracks/172fMG26G2OoEzzg0wn26r,https://api.spotify.com/v1/audio-analysis/172fMG26G2OoEzzg0wn26r,276373,4
79,80,もう少しだけ,YOASOBI,337833,https://open.spotify.com/track/2cBAc8f0ueFKSXGQRJRsyN,0.668,0.814,8,-3.732,1,0.0287,0.109,0.0,0.119,0.584,99.98,audio_features,2cBAc8f0ueFKSXGQRJRsyN,spotify:track:2cBAc8f0ueFKSXGQRJRsyN,https://api.spotify.com/v1/tracks/2cBAc8f0ueFKSXGQRJRsyN,https://api.spotify.com/v1/audio-analysis/2cBAc8f0ueFKSXGQRJRsyN,218853,4
80,81,僕らまた,SG,337373,https://open.spotify.com/track/5hzOyvCqy8sb39xGXUEdpb,0.679,0.298,10,-13.374,1,0.168,0.713,0.0,0.0917,0.698,77.91,audio_features,5hzOyvCqy8sb39xGXUEdpb,spotify:track:5hzOyvCqy8sb39xGXUEdpb,https://api.spotify.com/v1/tracks/5hzOyvCqy8sb39xGXUEdpb,https://api.spotify.com/v1/audio-analysis/5hzOyvCqy8sb39xGXUEdpb,197308,4
81,82,愛言葉,Tani Yuuki,332126,https://open.spotify.com/track/515q6vR077kY4BQv8F3pGj,0.602,0.58,0,-6.029,1,0.0327,0.422,0.0,0.352,0.323,148.079,audio_features,515q6vR077kY4BQv8F3pGj,spotify:track:515q6vR077kY4BQv8F3pGj,https://api.spotify.com/v1/tracks/515q6vR077kY4BQv8F3pGj,https://api.spotify.com/v1/audio-analysis/515q6vR077kY4BQv8F3pGj,286547,4
82,83,ニュー・マイ・ノーマル,Mrs. GREEN APPLE,329681,https://open.spotify.com/track/12fFNgW4IoYQdRCfqCPk9d,0.404,0.832,1,-2.87,1,0.0541,0.0032,0.0,0.0805,0.603,172.98,audio_features,12fFNgW4IoYQdRCfqCPk9d,spotify:track:12fFNgW4IoYQdRCfqCPk9d,https://api.spotify.com/v1/tracks/12fFNgW4IoYQdRCfqCPk9d,https://api.spotify.com/v1/audio-analysis/12fFNgW4IoYQdRCfqCPk9d,244338,4
83,84,マリーゴールド,Aimyon,328112,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,0.545,0.745,2,-3.098,1,0.0286,0.0452,0.0,0.0907,0.413,106.094,audio_features,2cKiHG16JBiqHdi7Llq0r7,spotify:track:2cKiHG16JBiqHdi7Llq0r7,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,306627,4
84,85,Answer,Lilas Ikuta,325996,https://open.spotify.com/track/5hVAQTNarrb3lmWqg9Ens4,0.622,0.475,0,-6.199,1,0.036,0.512,0.0,0.127,0.388,79.954,audio_features,5hVAQTNarrb3lmWqg9Ens4,spotify:track:5hVAQTNarrb3lmWqg9Ens4,https://api.spotify.com/v1/tracks/5hVAQTNarrb3lmWqg9Ens4,https://api.spotify.com/v1/audio-analysis/5hVAQTNarrb3lmWqg9Ens4,246000,4
85,86,虹,Masaki Suda,322954,https://open.spotify.com/track/7eqjbcOZTgZbV0lX2ghtfV,0.543,0.622,5,-4.735,1,0.03,0.0643,0.0,0.17,0.327,143.931,audio_features,7eqjbcOZTgZbV0lX2ghtfV,spotify:track:7eqjbcOZTgZbV0lX2ghtfV,https://api.spotify.com/v1/tracks/7eqjbcOZTgZbV0lX2ghtfV,https://api.spotify.com/v1/audio-analysis/7eqjbcOZTgZbV0lX2ghtfV,257400,4
86,87,怪盗,back number,321704,https://open.spotify.com/track/10Eyo4juZQFthKqlJgGMdp,0.636,0.847,7,-2.093,1,0.037,0.407,0.0,0.295,0.8,114.028,audio_features,10Eyo4juZQFthKqlJgGMdp,spotify:track:10Eyo4juZQFthKqlJgGMdp,https://api.spotify.com/v1/tracks/10Eyo4juZQFthKqlJgGMdp,https://api.spotify.com/v1/audio-analysis/10Eyo4juZQFthKqlJgGMdp,196226,4
87,88,Walking with you,Novelbright,320474,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd,0.422,0.969,7,-0.824,1,0.0591,0.00585,0.0,0.533,0.496,92.524,audio_features,7tGDXCPLpAScEwmqab9YZd,spotify:track:7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/tracks/7tGDXCPLpAScEwmqab9YZd,https://api.spotify.com/v1/audio-analysis/7tGDXCPLpAScEwmqab9YZd,223187,4
88,89,チェリー,SPITZ,318922,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z,0.646,0.805,0,-3.422,1,0.0292,0.227,1.95e-05,0.0901,0.748,97.201,audio_features,1ihCiJaXRl4f6Sy4LJov5z,spotify:track:1ihCiJaXRl4f6Sy4LJov5z,https://api.spotify.com/v1/tracks/1ihCiJaXRl4f6Sy4LJov5z,https://api.spotify.com/v1/audio-analysis/1ihCiJaXRl4f6Sy4LJov5z,259933,4
89,90,ミライチズ,Yoru no Hitowarai,310811,https://open.spotify.com/track/3mSqtn05vfpqAMpFTLsxpi,0.456,0.873,7,-2.086,1,0.0496,0.0849,2.26e-06,0.051,0.604,205.959,audio_features,3mSqtn05vfpqAMpFTLsxpi,spotify:track:3mSqtn05vfpqAMpFTLsxpi,https://api.spotify.com/v1/tracks/3mSqtn05vfpqAMpFTLsxpi,https://api.spotify.com/v1/audio-analysis/3mSqtn05vfpqAMpFTLsxpi,239613,4
90,91,Lemon,Kenshi Yonezu,308320,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,audio_features,04TshWXkhV1qkqHzf31Hn6,spotify:track:04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/tracks/04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/audio-analysis/04TshWXkhV1qkqHzf31Hn6,255827,4
91,92,夜撫でるメノウ,Ayase,305649,https://open.spotify.com/track/6IHWPY5iBUI1AOUclbtE6F,0.702,0.732,10,-6.803,1,0.0266,0.0749,0.0,0.297,0.636,100.0,audio_features,6IHWPY5iBUI1AOUclbtE6F,spotify:track:6IHWPY5iBUI1AOUclbtE6F,https://api.spotify.com/v1/tracks/6IHWPY5iBUI1AOUclbtE6F,https://api.spotify.com/v1/audio-analysis/6IHWPY5iBUI1AOUclbtE6F,262800,4
92,93,キャラクター,Ryokuoushoku Shakai,305644,https://open.spotify.com/track/0O4YelF6Zneq7sk1Ye73N2,0.65,0.913,5,-2.147,1,0.0758,0.15,0.0,0.345,0.594,124.025,audio_features,0O4YelF6Zneq7sk1Ye73N2,spotify:track:0O4YelF6Zneq7sk1Ye73N2,https://api.spotify.com/v1/tracks/0O4YelF6Zneq7sk1Ye73N2,https://api.spotify.com/v1/audio-analysis/0O4YelF6Zneq7sk1Ye73N2,249427,4
